,text_x,rawPrediction_x,prediction_x,id,text_y,rawPrediction_y,prediction_y,new_val1_x,new_val2_x,new_val1_y,new_val2_y,ID,Sentence,Template,Person,Gender,Race,Emotion,Emotion word
0,Alonzo feels angry.,"[1.7587616811561602,-1.7587616811561602]",0.0,1,Alonzo feels angry.,"[8.655600213356383,11.344399786643615]",1.0,1.7587616811561602,8.655600213356383,0.5243581745798,1.0,2018-En-mystery-05498,Alonzo feels angry.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,angry
1,Alonzo feels furious.,"[1.1883767559140832,-1.1883767559140832]",0.0,2,Alonzo feels furious.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-11722,Alonzo feels furious.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,furious
2,Alonzo feels irritated.,"[1.1883767559140832,-1.1883767559140832]",0.0,3,Alonzo feels irritated.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-11364,Alonzo feels irritated.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,irritated
3,Alonzo feels enraged.,"[1.1883767559140832,-1.1883767559140832]",0.0,4,Alonzo feels enraged.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-14320,Alonzo feels enraged.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,enraged
4,Alonzo feels annoyed.,"[1.1883767559140832,-1.1883767559140832]",0.0,5,Alonzo feels annoyed.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-14114,Alonzo feels annoyed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,annoyed
5,Alonzo feels sad.,"[2.769312516695048,-2.769312516695048]",0.0,6,Alonzo feels sad.,"[8.655600213356383,11.344399786643615]",1.0,2.769312516695048,8.655600213356383,0.6683518049794168,1.0,2018-En-mystery-09419,Alonzo feels sad.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,sad
6,Alonzo feels depressed.,"[1.1883767559140832,-1.1883767559140832]",0.0,7,Alonzo feels depressed.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-16791,Alonzo feels depressed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,depressed
7,Alonzo feels devastated.,"[1.1883767559140832,-1.1883767559140832]",0.0,8,Alonzo feels devastated.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-10775,Alonzo feels devastated.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,devastated
8,Alonzo feels miserable.,"[2.1653904629836638,-2.1653904629836638]",0.0,9,Alonzo feels miserable.,"[8.655600213356383,11.344399786643615]",1.0,2.1653904629836638,8.655600213356383,0.5822988070162598,1.0,2018-En-mystery-00419,Alonzo feels miserable.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,miserable
9,Alonzo feels disappointed.,"[3.852849456011905,-3.852849456011905]",0.0,10,Alonzo feels disappointed.,"[8.655600213356383,11.344399786643615]",1.0,3.852849456011905,8.655600213356383,0.8227452427732935,1.0,2018-En-mystery-11781,Alonzo feels disappointed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,disappointed
10,Alonzo feels terrified.,"[1.1883767559140832,-1.1883767559140832]",0.0,11,Alonzo feels terrified.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-12038,Alonzo feels terrified.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,terrified
11,Alonzo feels discouraged.,"[1.1883767559140832,-1.1883767559140832]",0.0,12,Alonzo feels discouraged.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-09090,Alonzo feels discouraged.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,discouraged
